"Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0104-01 (formerly CANSIM 380-0064)"
"Release date: 2025-11-28"
"Geography: Canada"
""
""

"Prices","Current prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Final consumption expenditure","31,984","32,588","33,560","33,776","34,604","35,216","35,212","36,104","36,568","37,396","37,980","38,860","39,832","40,044","40,904","41,836","42,352","43,660","44,712","46,036","47,256","48,372","49,840","50,860","51,696","53,736","54,432","55,960","57,300","58,308","60,364","62,148","63,628","64,648","66,292","67,936","69,092","70,756","71,732","72,992","72,996","76,888","79,004","81,676","82,564","85,292","87,924","91,344","94,496","96,876","99,992","104,756","109,632","114,456","119,780","123,176","128,312","133,820","140,564","144,556","147,636","155,404","156,440","163,840","167,708","171,772","176,748","181,120","185,684","190,152","195,280","200,636","206,964","212,468","217,008","222,536","229,440","235,760","246,010","254,174","262,788","269,508","277,232","282,848","286,808","293,992","300,904","307,380","311,328","319,960","328,956","335,520","341,652","346,928","351,788","359,916","369,568","376,864","384,244","392,900","398,552","403,596","413,588","418,248","426,824","437,228","441,896","451,532","459,440","469,636","478,260","488,136","494,928","511,504","517,160","524,104","538,156","539,144","548,776","556,680","558,092","571,396","574,588","578,016","581,980","586,072","592,928","599,716","601,084","607,472","611,340","616,528","619,924","624,908","629,776","636,408","638,224","643,424","647,560","648,320","656,148","661,576","662,904","674,016","685,560","691,040","699,944","706,892","713,468","721,104","728,164","731,112","744,228","754,428","769,152","778,868","792,972","811,132","823,560","830,400","839,072","851,632","857,376","867,372","881,500","898,784","911,964","926,548","935,980","942,468","955,552","958,924","974,912","984,468","995,336","1,006,284","1,023,056","1,037,292","1,050,040","1,062,324","1,079,480","1,097,148","1,111,392","1,121,952","1,140,860","1,161,368","1,172,856","1,193,444","1,212,300","1,231,436","1,241,872","1,231,212","1,228,580","1,240,256","1,255,332","1,275,032","1,287,240","1,297,192","1,312,704","1,332,504","1,345,104","1,360,452","1,374,388","1,387,620","1,395,452","1,400,720","1,413,340","1,423,992","1,439,696","1,449,384","1,465,740","1,478,632","1,494,408","1,511,832","1,525,620","1,537,644","1,545,556","1,555,784","1,576,564","1,586,956","1,593,000","1,603,968","1,615,308","1,631,540","1,655,348","1,678,092","1,690,452","1,713,096","1,732,360","1,751,292","1,766,548","1,775,924","1,789,348","1,804,008","1,818,620","1,845,028","1,823,932","1,625,380","1,795,420","1,818,752","1,850,212","1,863,900","1,954,716","1,997,116","2,057,600","2,127,084","2,156,604","2,192,268","2,212,808","2,245,560","2,277,212","2,309,484","2,334,996","2,374,440","2,420,900","2,448,348","2,475,280","2,506,876","2,522,688"
"Household final consumption expenditure","25,196","25,684","26,328","26,520","27,204","27,516","27,540","28,240","28,532","29,252","29,604","30,288","30,888","31,120","31,888","32,420","32,756","33,860","34,556","35,608","36,264","36,880","37,824","38,316","38,928","40,168","40,596","41,816","42,836","43,436","44,664","45,752","47,088","47,596","48,508","49,640","49,716","50,348","51,440","52,124","52,244","54,692","56,416","58,292","59,084","61,160","62,664","64,832","67,576","69,532","71,744","74,508","78,400","81,336","84,220","86,060","90,072","92,932","97,192","101,048","102,924","107,296","109,468","113,316","115,916","117,992","122,720","126,056","129,652","132,820","136,596","140,316","144,964","148,488","152,048","155,928","160,552","164,212","171,584","177,904","183,864","188,152","191,908","195,984","197,408","201,820","205,872","209,644","215,060","220,216","227,116","232,220","237,300","241,292","244,116","250,072","256,064","261,648","269,032","273,612","278,316","282,992","290,144","293,620","299,812","307,308","312,276","318,784","323,548","331,616","337,720","345,500","350,084","360,504","363,644","368,656","377,640","376,564","381,124","384,916","384,944","394,100","396,708","397,192","399,628","402,796","407,892","411,256","414,924","418,744","423,136","428,144","433,604","435,024","439,308","445,936","447,164","452,588","458,104","459,084","466,832","471,220","474,864","485,368","494,624","500,624","507,948","514,376","515,676","523,380","528,316","531,536","540,372","548,376","558,312","566,976","575,536","583,612","595,828","601,136","606,376","614,596","616,472","623,272","634,584","648,388","656,668","666,780","672,940","677,428","687,100","687,360","700,760","709,360","717,072","724,568","738,364","748,504","757,540","765,244","779,144","789,056","799,500","806,868","821,208","837,348","846,584","862,976","873,300","880,684","888,472","871,580","866,320","873,628","886,432","900,400","911,508","919,440","930,732","945,200","952,556","963,132","970,660","981,988","989,668","993,188","1,000,460","1,008,896","1,021,024","1,032,568","1,044,832","1,053,920","1,065,680","1,082,060","1,093,188","1,104,084","1,105,264","1,114,204","1,129,568","1,139,280","1,141,184","1,147,040","1,156,132","1,170,316","1,187,868","1,204,248","1,214,164","1,230,332","1,244,136","1,256,980","1,268,840","1,271,828","1,283,608","1,295,792","1,303,680","1,320,184","1,292,980","1,097,836","1,249,480","1,263,688","1,278,468","1,288,880","1,373,012","1,405,068","1,442,984","1,511,092","1,533,028","1,558,424","1,578,088","1,592,732","1,609,692","1,628,576","1,646,216","1,667,484","1,694,808","1,715,372","1,731,148","1,751,396","1,764,252"
"Goods","15,260","15,664","16,064","16,060","16,768","16,896","16,844","17,380","17,536","17,960","18,100","18,560","18,944","19,004","19,472","19,676","19,924","20,664","21,112","21,768","22,168","22,364","22,972","23,080","23,436","24,448","24,648","25,032","25,516","25,808","26,476","27,048","27,932","28,116","28,500","29,220","29,048","29,168","29,924","30,540","30,360","31,792","32,924","34,416","34,828","36,028","36,804","38,416","40,192","41,436","42,756","44,768","47,472","49,280","50,868","51,160","53,440","55,304","57,920","60,240","60,024","62,468","62,900","65,300","66,004","67,048","69,416","71,676","72,864","74,840","76,960","78,880","82,348","84,352","86,624","88,396","90,472","92,008","96,920","100,616","104,100","105,704","107,984","110,416","109,700","111,928","113,436","114,428","117,108","120,224","124,340","127,436","130,352","133,024","133,936","137,496","140,916","143,580","148,064","151,420","152,156","153,880","158,504","158,780","160,268","165,592","168,036","171,276","173,692","176,372","179,792","182,976","183,700","189,680","189,584","191,172","194,456","193,200","194,216","195,012","193,100","199,256","199,216","196,244","196,932","198,308","200,304","202,196","203,564","204,400","205,896","206,864","209,984","209,224","211,160","214,816","214,348","216,624","219,096","218,688","220,860","223,832","224,272","230,448","234,388","238,324","241,956","244,648","243,652","249,100","251,040","251,068","256,644","261,252","267,988","271,484","276,064","279,528","286,716","287,472","289,640","296,984","295,052","299,236","306,352","312,324","316,008","322,720","327,868","327,480","331,796","327,136","334,760","338,944","342,420","346,860","351,856","355,484","359,928","360,984","367,736","373,420","377,228","375,596","383,476","393,404","393,420","398,892","405,288","409,328","413,420","397,144","391,720","395,148","400,624","405,384","412,096","412,096","417,924","424,940","426,912","432,016","434,864","439,972","444,196","441,824","444,528","447,984","452,848","457,256","463,880","468,016","472,496","480,732","484,800","487,280","483,656","488,232","495,888","500,012","500,092","503,020","503,492","512,460","522,872","530,992","532,920","541,804","549,356","555,004","560,408","558,704","561,272","567,568","568,000","572,120","551,612","496,596","586,644","592,660","599,924","593,264","622,136","637,456","662,432","684,968","684,504","693,476","702,988","706,540","709,208","714,628","712,500","716,576","725,904","737,536","749,164","745,176","746,448"
"Durable goods","2,828","2,984","3,212","3,160","3,404","3,408","3,312","3,548","3,564","3,772","3,680","4,024","4,136","4,096","4,256","4,144","4,380","4,688","4,768","4,892","5,084","4,756","5,160","5,276","5,188","5,656","5,588","5,548","5,788","5,928","6,140","6,344","6,680","6,532","6,556","6,776","6,324","6,392","6,660","6,460","6,648","7,164","7,612","8,228","8,132","8,648","8,852","9,516","10,296","10,360","10,560","11,084","11,908","12,416","12,792","12,172","13,064","13,640","14,604","15,808","14,756","16,008","15,716","16,748","16,988","16,628","16,996","17,516","17,728","18,480","19,108","19,444","20,520","21,060","21,696","21,784","22,280","21,576","23,576","24,208","25,188","25,524","24,620","25,208","23,324","23,460","23,420","24,092","25,304","26,928","28,376","29,548","31,132","31,692","32,232","33,568","34,744","36,628","38,176","39,580","40,176","40,768","42,900","42,156","43,348","45,068","45,644","47,444","48,736","49,592","50,404","51,676","51,412","54,120","51,984","52,468","53,892","51,532","51,096","50,304","47,744","51,244","50,668","48,628","49,528","49,636","50,352","50,588","50,428","50,812","51,688","52,040","53,788","54,416","54,412","57,348","55,656","55,536","57,448","57,588","57,992","58,636","59,672","63,104","64,796","66,864","68,400","71,896","68,080","71,824","72,472","71,984","74,892","75,672","78,876","80,000","81,544","82,068","84,340","81,484","83,332","84,872","84,588","89,436","91,912","93,292","93,312","96,020","95,852","96,896","98,948","94,676","96,996","97,876","98,532","100,116","101,736","102,644","103,388","103,308","106,356","107,444","109,664","110,416","112,020","116,220","114,992","115,580","118,924","117,260","115,848","108,700","104,564","108,564","112,220","113,616","114,784","115,144","117,064","118,588","116,968","117,480","117,100","120,100","123,160","120,724","120,644","121,516","124,284","127,604","128,172","127,800","129,568","133,724","136,556","137,620","135,892","138,616","142,448","145,624","147,652","147,436","147,748","151,780","158,092","161,412","161,272","163,332","165,456","166,620","166,968","167,260","168,372","168,296","168,532","168,392","149,172","128,132","177,072","179,380","179,180","178,892","183,160","188,520","197,392","198,564","197,948","200,036","206,740","206,740","209,184","216,196","215,168","212,412","217,924","223,580","222,844","225,876","223,832"
"Semi-durable goods","3,120","3,108","3,168","3,252","3,348","3,448","3,428","3,516","3,500","3,608","3,648","3,696","3,796","3,716","3,892","3,988","3,908","4,004","4,204","4,300","4,416","4,536","4,440","4,432","4,620","4,816","4,812","5,088","5,036","5,196","5,248","5,276","5,548","5,604","5,712","5,680","5,824","5,748","5,916","6,084","6,020","6,224","6,460","6,744","6,800","7,188","7,372","7,496","7,804","8,004","8,248","8,784","9,240","9,676","10,000","10,040","10,420","10,632","11,160","11,380","11,840","12,512","12,700","13,044","13,240","13,220","13,748","14,072","14,292","14,364","14,956","15,548","16,124","16,568","17,160","17,588","17,784","18,256","18,968","19,548","20,292","20,508","20,784","21,148","20,660","21,044","21,240","21,532","22,276","22,504","23,100","23,452","23,940","24,780","24,824","25,296","25,652","26,148","26,860","27,604","27,584","28,492","29,140","29,500","29,740","30,352","30,820","31,660","31,512","32,204","32,860","33,648","33,616","34,392","34,632","34,484","35,288","34,792","34,856","34,908","34,272","35,268","35,104","35,300","34,804","35,016","35,636","36,016","36,284","36,640","36,864","36,888","37,568","37,936","38,804","39,380","39,732","39,876","39,996","39,376","39,736","39,948","40,212","40,588","41,288","41,776","42,604","42,732","44,348","44,308","44,676","44,916","45,836","46,580","47,392","47,352","48,188","48,532","49,792","50,300","50,916","51,700","51,088","52,412","53,688","54,208","53,896","54,436","55,192","55,492","55,596","55,656","56,876","57,096","57,612","57,496","58,964","59,520","59,420","59,952","61,860","62,736","63,292","63,524","64,852","65,428","66,392","66,592","66,524","67,344","68,044","66,920","66,108","66,076","66,052","66,236","68,296","67,824","68,112","69,024","68,716","69,480","70,072","70,756","71,648","71,184","71,560","71,944","72,580","72,712","74,440","75,048","74,328","76,396","77,572","78,432","78,808","80,044","81,056","82,252","82,248","81,824","81,760","82,204","83,212","84,616","85,660","86,464","87,336","87,772","88,964","88,840","89,640","90,748","90,844","91,616","83,512","68,452","90,864","89,676","89,976","86,112","100,408","101,260","101,364","108,196","107,148","107,580","111,508","111,276","107,252","107,192","106,364","108,208","109,224","111,548","115,568","117,400","118,544"
"Non-durable goods","9,312","9,572","9,684","9,648","10,016","10,040","10,104","10,316","10,472","10,580","10,772","10,840","11,012","11,192","11,324","11,544","11,636","11,972","12,140","12,576","12,668","13,072","13,372","13,372","13,628","13,976","14,248","14,396","14,692","14,684","15,088","15,428","15,704","15,980","16,232","16,764","16,900","17,028","17,348","17,996","17,692","18,404","18,852","19,444","19,896","20,192","20,580","21,404","22,092","23,072","23,948","24,900","26,324","27,188","28,076","28,948","29,956","31,032","32,156","33,052","33,428","33,948","34,484","35,508","35,776","37,200","38,672","40,088","40,844","41,996","42,896","43,888","45,704","46,724","47,768","49,024","50,408","52,176","54,376","56,860","58,620","59,672","62,580","64,060","65,716","67,424","68,776","68,804","69,528","70,792","72,864","74,436","75,280","76,552","76,880","78,632","80,520","80,804","83,028","84,236","84,396","84,620","86,464","87,124","87,180","90,172","91,572","92,172","93,444","94,576","96,528","97,652","98,672","101,168","102,968","104,220","105,276","106,876","108,264","109,800","111,084","112,744","113,444","112,316","112,600","113,656","114,316","115,592","116,852","116,948","117,344","117,936","118,628","116,872","117,944","118,088","118,960","121,212","121,652","121,724","123,132","125,248","124,388","126,756","128,304","129,684","130,952","130,020","131,224","132,968","133,892","134,168","135,916","139,000","141,720","144,132","146,332","148,928","152,584","155,688","155,392","160,412","159,376","157,388","160,752","164,824","168,800","172,264","176,824","175,092","177,252","176,804","180,888","183,972","186,276","189,248","191,156","193,320","197,120","197,724","199,520","203,240","204,272","201,656","206,604","211,756","212,036","216,720","219,840","224,724","229,528","221,524","221,048","220,508","222,352","225,532","229,016","229,128","232,748","237,328","241,228","245,056","247,692","249,116","249,388","249,916","252,324","254,524","255,984","256,940","261,268","265,168","268,600","270,612","270,672","271,228","268,956","269,572","272,384","272,136","270,192","273,760","273,984","278,476","281,568","284,964","285,988","292,008","296,564","300,612","304,476","302,604","303,260","308,524","308,624","312,112","318,928","300,012","318,708","323,604","330,768","328,260","338,568","347,676","363,676","378,208","379,408","385,860","384,740","388,524","392,772","391,240","390,968","395,956","398,756","402,408","410,752","401,900","404,072"
"Services","9,936","10,020","10,264","10,460","10,436","10,620","10,696","10,860","10,996","11,292","11,504","11,728","11,944","12,116","12,416","12,744","12,832","13,196","13,444","13,840","14,096","14,516","14,852","15,236","15,492","15,720","15,948","16,784","17,320","17,628","18,188","18,704","19,156","19,480","20,008","20,420","20,668","21,180","21,516","21,584","21,884","22,900","23,492","23,876","24,256","25,132","25,860","26,416","27,384","28,096","28,988","29,740","30,928","32,056","33,352","34,900","36,632","37,628","39,272","40,808","42,900","44,828","46,568","48,016","49,912","50,944","53,304","54,380","56,788","57,980","59,636","61,436","62,616","64,136","65,424","67,532","70,080","72,204","74,664","77,288","79,764","82,448","83,924","85,568","87,708","89,892","92,436","95,216","97,952","99,992","102,776","104,784","106,948","108,268","110,180","112,576","115,148","118,068","120,968","122,192","126,160","129,112","131,640","134,840","139,544","141,716","144,240","147,508","149,856","155,244","157,928","162,524","166,384","170,824","174,060","177,484","183,184","183,364","186,908","189,904","191,844","194,844","197,492","200,948","202,696","204,488","207,588","209,060","211,360","214,344","217,240","221,280","223,620","225,800","228,148","231,120","232,816","235,964","239,008","240,396","245,972","247,388","250,592","254,920","260,236","262,300","265,992","269,728","272,024","274,280","277,276","280,468","283,728","287,124","290,324","295,492","299,472","304,084","309,112","313,664","316,736","317,612","321,420","324,036","328,232","336,064","340,660","344,060","345,072","349,948","355,304","360,224","366,000","370,416","374,652","377,708","386,508","393,020","397,612","404,260","411,408","415,636","422,272","431,272","437,732","443,944","453,164","464,084","468,012","471,356","475,052","474,436","474,600","478,480","485,808","495,016","499,412","507,344","512,808","520,260","525,644","531,116","535,796","542,016","545,472","551,364","555,932","560,912","568,176","575,312","580,952","585,904","593,184","601,328","608,388","616,804","621,608","625,972","633,680","639,268","641,092","644,020","652,640","657,856","664,996","673,256","681,244","688,528","694,780","701,976","708,432","713,124","722,336","728,224","735,680","748,064","741,368","601,240","662,836","671,028","678,544","695,616","750,876","767,612","780,552","826,124","848,524","864,948","875,100","886,192","900,484","913,948","933,716","950,908","968,904","977,836","981,984","1,006,220","1,017,804"
"Non-profit institutions serving households' final consumption expenditure","344","364","376","384","396","416","440","460","464","488","488","496","508","508","516","548","564","576","608","620","648","664","696","716","708","732","744","732","720","720","728","732","752","784","828","836","864","888","900","928","912","980","1,036","1,040","1,120","1,148","1,216","1,268","1,244","1,260","1,320","1,400","1,456","1,616","1,612","1,660","1,744","1,832","1,932","2,016","2,132","2,252","2,304","2,380","2,392","2,472","2,468","2,488","2,548","2,612","2,744","2,824","2,984","3,232","3,228","3,356","3,492","3,560","3,690","3,958","4,296","4,256","4,264","4,308","4,340","4,424","4,572","4,664","4,704","4,700","4,796","4,948","4,844","5,048","5,160","5,252","5,540","5,560","5,436","5,572","5,736","5,756","5,996","6,032","6,068","6,272","6,252","6,652","6,788","6,752","6,788","7,124","7,384","7,672","7,876","7,844","8,104","8,316","8,424","8,428","8,572","8,696","8,820","8,888","9,020","9,140","9,208","9,280","9,356","9,404","9,460","9,504","9,480","9,640","9,744","9,868","9,852","9,972","10,104","10,192","10,368","10,484","10,640","10,844","11,244","11,404","11,420","11,600","11,852","11,968","12,232","12,604","12,936","13,340","13,668","13,748","13,812","13,960","14,240","14,624","14,912","15,204","15,608","15,848","16,476","16,884","17,212","17,420","17,504","17,404","17,332","17,272","17,332","17,672","18,096","18,684","19,052","19,456","19,784","20,056","20,420","20,732","20,904","21,060","20,952","21,064","21,484","22,080","23,244","23,940","24,252","24,312","23,832","23,040","22,516","22,484","22,196","22,620","23,088","23,692","24,036","24,588","24,908","25,132","25,336","25,428","25,636","25,812","26,836","26,336","26,380","26,164","26,328","26,612","26,940","27,424","27,204","28,192","28,756","30,148","29,976","31,176","31,472","31,180","31,448","31,668","32,104","32,420","33,144","33,596","33,896","34,228","34,520","35,008","35,652","36,308","36,720","34,036","35,484","36,924","36,260","36,688","37,324","38,380","39,268","40,560","41,264","41,768","43,044","44,288","45,432","46,100","46,752","47,084","47,584","47,844","48,120","48,672","49,160"
