"Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
"Of which: business investment in inventories","168","236","-464","468","677","244","1,092","679","749","488","808","895","1,036","715","748","81","1,783","1,465","877","1,087","1,181","1,961","1,076","898","236","132","311","29","336","657","773","1,046","1,216","1,549","1,432","1,699","636","456","916","-988","436","-36","409","827","813","843","813","587","763","1,266","2,496","2,999","1,873","3,578","3,847","4,574","2,784","550","-280","298","2,764","2,439","3,272","681","2,410","2,186","1,153","1,515","-523","372","1,129","2,606","2,688","7,064","3,432","5,768","106","4,503","-5,406","-2,203","4,532","6,020","904","-6,604","-4,656","-10,132","-13,364","-13,228","-5,728","-8,028","-660","1,040","3,048","5,220","3,776","2,628","2,868","3,476","6,084","4,324","7,768","5,500","1,000","-616","96","-1,652","1,044","7,912","8,940","4,072","4,972","3,700","-756","7,420","9,860","848","-1,036","32","-5,712","-4,756","-2,312","-10,732","-6,712","-6,056","-7,812","-5,180","-6,492","-9,388","-5,556","-1,856","1,640","292","688","1,000","572","1,536","6,876","12,136","9,392","5,772","2,836","-6,380","1,544","6,100","3,544","7,388","10,732","11,524","14,240","5,328","-4,060","2,956","320","3,632","3,804","12,108","11,776","11,632","13,244","7,992","-2,744","-412","-5,740","-13,356","-16,796","1,488","-464","4,588","11,416","10,580","-3,088","3,688","-3,120","-4,328","13,136","21,332","18,404","9,792","10,096","6,720","12,280","16,044","12,772","1,552","2,304","348","14,712","18,416","7,216","7,352","14,320","10,120","2,744","-8,380","-7,784","-8,272","3,624","-1,768","5,036","-7,324","6,988","17,972","8,188","10,988","2,812","9,040","11,424","-268","13,296","6,648","13,996","18,700","18,124","7,468","5,836","7,528","8,056","2,628","-4,796","-8,820","-4,248","2,212","4,820","-5,104","11,836","17,940","26,556","18,392","20,284","17,564","11,892","12,964","20,568","14,204","2,976","3,980","15,364","-26,172","-35,352","-1,520","-5,360","19,900","2,852","28,336","27,620","70,012","74,884","45,896","17,540","18,424","21,864","11,992","14,488","12,408","15,388","-12,096","8,844","41,028","30,528"
"Non-farm","588","600","-44","860","384","216","760","384","388","76","396","968","944","960","988","80","1,520","1,140","976","1,340","1,004","1,676","852","732","412","304","248","-228","164","472","584","672","908","956","812","1,300","708","516","1,140","-856","128","-60","608","876","908","1,168","1,404","716","996","1,004","2,380","2,432","2,768","3,380","3,876","4,808","1,540","-96","76","708","2,252","2,204","2,596","620","1,892","2,192","984","1,972","-880","-448","940","2,380","3,100","6,536","3,388","5,256","240","4,944","-4,724","-1,556","3,416","5,296","544","-6,584","-5,316","-9,972","-13,000","-12,840","-4,240","-7,388","-448","1,000","3,680","6,360","6,120","3,972","2,676","2,832","5,220","4,288","7,096","4,628","-400","-524","80","-744","1,632","8,380","9,436","5,104","5,988","3,464","-1,472","5,996","9,252","1,356","-640","80","-7,468","-5,884","-3,112","-11,172","-6,696","-6,116","-6,756","-5,068","-5,244","-9,176","-6,488","-2,804","604","-424","-324","772","1,680","2,224","6,424","11,600","8,820","5,976","3,280","-8,120","-396","6,544","2,892","8,064","12,664","13,576","14,952","4,924","-3,704","3,464","276","2,632","3,724","11,772","11,912","11,272","12,920","7,316","-2,396","784","-4,780","-12,092","-15,772","2,732","1,384","6,280","10,736","9,464","-5,020","1,748","-4,132","-5,700","11,628","19,596","17,252","8,940","9,720","6,316","12,976","17,236","13,252","2,056","3,240","1,152","15,920","19,268","6,752","5,420","10,512","7,472","4,400","-5,944","-8,576","-8,856","3,932","-1,096","5,180","-7,116","6,596","17,460","7,536","11,880","3,188","7,520","9,032","320","9,764","2,824","8,720","18,076","20,004","10,832","9,804","10,096","9,572","2,716","-4,456","-9,792","-3,196","1,064","5,456","-3,636","10,876","16,324","25,956","15,816","19,324","17,544","11,152","13,600","20,120","14,480","2,556","2,400","12,852","-26,700","-30,336","988","1,764","25,268","12,620","29,476","26,124","57,724","64,868","45,760","23,424","18,128","23,184","14,244","16,148","15,700","19,072","-8,436","8,804","39,812","26,396"
"Farm","-420","-364","-420","-392","293","28","332","295","361","412","412","-73","92","-245","-240","1","263","325","-99","-253","177","285","224","166","-176","-172","63","257","172","185","189","374","308","593","620","399","-72","-60","-224","-132","308","24","-199","-49","-95","-325","-591","-129","-233","262","116","567","-895","198","-29","-234","1,244","646","-356","-410","512","235","676","61","518","-6","169","-457","357","820","189","226","-412","528","44","512","-134","-441","-682","-647","1,116","724","360","-20","660","-160","-364","-388","-1,488","-640","-212","40","-632","-1,140","-2,344","-1,344","192","644","864","36","672","872","1,400","-92","16","-908","-588","-468","-496","-1,032","-1,016","236","716","1,424","608","-508","-396","-48","1,756","1,128","800","440","-16","60","-1,056","-112","-1,248","-212","932","948","1,036","716","1,012","228","-1,108","-688","452","536","572","-204","-444","1,740","1,940","-444","652","-676","-1,932","-2,052","-712","404","-356","-508","44","1,000","80","336","-136","360","324","676","-348","-1,196","-960","-1,264","-1,024","-1,244","-1,848","-1,692","680","1,116","1,932","1,940","1,012","1,372","1,508","1,736","1,152","852","376","404","-696","-1,192","-480","-504","-936","-804","-1,208","-852","464","1,932","3,808","2,648","-1,656","-2,436","792","584","-308","-672","-144","-208","392","512","652","-892","-376","1,520","2,392","-588","3,532","3,824","5,276","624","-1,880","-3,364","-3,968","-2,568","-1,516","-88","-340","972","-1,052","1,148","-636","-1,468","960","1,616","600","2,576","960","20","740","-636","448","-276","420","1,580","2,512","528","-5,016","-2,508","-7,124","-5,368","-9,768","-1,140","1,496","12,288","10,016","136","-5,884","296","-1,320","-2,252","-1,660","-3,292","-3,684","-3,660","40","1,216","4,132"
"Exports of goods and services","7,080","7,032","7,432","7,696","7,812","7,908","7,848","8,236","8,316","8,544","8,588","9,472","9,700","10,364","10,332","10,152","10,232","10,424","10,920","11,528","11,832","12,168","13,116","13,196","13,600","14,368","14,292","14,400","15,408","15,924","16,328","17,000","17,480","17,468","17,604","18,736","19,996","20,228","20,144","20,152","20,160","20,736","22,128","21,448","21,836","23,812","23,496","26,164","28,084","29,472","29,412","32,628","35,072","37,024","39,520","39,456","37,748","38,740","39,268","40,088","41,816","44,360","45,992","45,084","48,544","50,940","51,876","53,692","56,888","59,928","62,368","66,356","70,632","71,372","77,664","81,208","87,060","85,060","87,716","93,656","94,812","98,960","96,960","98,028","95,600","98,916","102,576","94,080","96,852","103,728","106,040","113,432","120,968","127,636","135,060","132,588","134,396","137,744","137,956","140,872","140,096","139,580","144,308","144,516","145,464","145,908","150,292","155,724","161,392","163,008","162,240","166,656","172,084","166,784","165,624","168,332","171,120","175,284","176,784","174,380","166,236","169,500","174,472","173,412","177,888","185,064","189,716","200,228","208,692","215,708","218,432","227,992","233,308","253,592","267,964","283,620","301,912","295,200","296,160","307,524","308,828","318,600","328,348","320,164","337,696","340,304","348,368","356,936","362,796","367,864","378,928","396,372","405,188","406,992","430,700","444,824","465,564","484,216","494,784","511,364","509,532","493,744","466,284","455,088","467,024","472,636","485,064","487,976","487,808","447,560","454,232","460,692","471,320","514,264","512,332","496,468","501,152","511,192","529,084","554,352","526,872","524,532","530,796","537,096","554,040","555,276","530,752","520,036","546,988","592,360","600,848","539,560","460,416","430,464","440,564","460,872","473,476","480,920","483,264","506,108","521,996","526,240","554,040","574,740","562,396","554,476","546,644","554,932","567,500","576,092","580,896","583,468","612,364","640,380","644,876","634,828","620,336","630,644","649,764","635,076","635,324","608,392","641,832","666,832","680,272","686,604","647,328","679,100","697,552","734,220","748,672","710,316","733,424","765,380","753,944","741,252","700,384","551,444","670,832","695,220","754,188","756,940","794,440","856,600","906,260","1,006,108","979,772","971,168","980,452","969,136","996,184","1,008,816","985,992","1,008,872","1,003,256","1,039,156","1,072,340","965,576","983,072"
"Exports of goods","6,068","6,016","6,384","6,628","6,712","6,732","6,692","7,056","7,116","7,300","7,324","8,152","8,356","9,012","8,952","8,688","8,772","8,920","9,340","9,972","10,116","10,448","11,320","11,364","11,616","11,900","11,412","12,276","13,452","13,880","14,252","15,008","15,264","15,148","15,208","16,300","17,356","17,596","17,544","17,412","17,588","17,996","19,280","18,572","19,256","20,944","20,588","23,060","24,856","26,128","25,960","29,096","30,944","32,908","35,260","35,008","33,264","34,296","34,660","35,284","36,640","39,320","40,712","39,940","43,252","45,216","46,256","47,928","50,784","53,504","55,672","59,192","63,192","63,384","69,480","72,652","78,104","75,876","78,244","84,088","84,100","88,040","85,872","86,936","84,716","87,796","91,388","83,000","86,088","91,584","93,476","100,844","107,640","114,396","121,640","119,172","120,304","123,120","122,920","125,276","124,256","122,804","126,248","127,784","128,420","128,420","132,008","137,448","140,928","144,060","142,948","146,648","150,952","145,916","144,500","146,972","149,768","152,616","154,508","151,884","143,472","146,936","151,356","149,272","154,568","160,464","164,940","174,036","181,924","188,576","190,592","199,404","202,648","220,816","237,864","251,200","267,972","261,328","260,876","271,036","271,096","280,056","288,580","279,908","297,288","297,860","305,008","312,632","315,404","318,348","328,904","345,380","353,324","355,184","377,092","388,932","407,420","424,904","433,704","449,224","447,812","432,008","405,544","394,640","403,768","408,464","419,576","420,480","423,116","386,504","389,836","393,572","403,988","444,064","441,280","423,700","428,812","437,244","454,104","477,584","451,908","447,888","453,112","458,876","476,728","476,856","453,460","442,192","467,960","511,144","517,852","455,780","380,792","350,820","361,268","379,524","393,532","400,968","401,968","422,948","439,056","440,004","466,096","485,188","471,524","462,296","454,572","462,164","473,736","480,208","482,808","485,320","513,500","537,548","541,440","530,024","514,284","522,136","539,956","524,880","521,528","494,468","525,296","547,916","559,488","564,344","524,504","553,768","564,340","598,824","610,920","570,576","585,556","612,028","597,384","587,428","557,260","427,052","542,936","562,660","611,536","610,820","640,112","691,836","739,220","825,332","790,344","775,312","771,572","753,428","774,340","779,716","757,188","778,492","772,444","802,328","836,484","730,812","743,984"
"Exports of services","1,012","1,016","1,048","1,068","1,100","1,176","1,156","1,180","1,200","1,244","1,264","1,320","1,344","1,352","1,380","1,464","1,460","1,504","1,580","1,556","1,716","1,720","1,796","1,832","1,984","2,468","2,880","2,124","1,956","2,044","2,076","1,992","2,216","2,320","2,396","2,436","2,640","2,632","2,600","2,740","2,572","2,740","2,848","2,876","2,580","2,868","2,908","3,104","3,228","3,344","3,452","3,532","4,128","4,116","4,260","4,448","4,484","4,444","4,608","4,804","5,176","5,040","5,280","5,144","5,292","5,724","5,620","5,764","6,104","6,424","6,696","7,164","7,440","7,988","8,184","8,556","8,956","9,184","9,472","9,568","10,712","10,920","11,088","11,092","10,884","11,120","11,188","11,080","10,764","12,144","12,564","12,588","13,328","13,240","13,420","13,416","14,092","14,624","15,036","15,596","15,840","16,776","18,060","16,732","17,044","17,488","18,284","18,276","20,464","18,948","19,292","20,008","21,132","20,868","21,124","21,360","21,352","22,668","22,276","22,496","22,764","22,564","23,116","24,140","23,320","24,600","24,776","26,192","26,768","27,132","27,840","28,588","30,660","32,776","30,100","32,420","33,940","33,872","35,284","36,488","37,732","38,544","39,768","40,256","40,408","42,444","43,360","44,304","47,392","49,516","50,024","50,992","51,864","51,808","53,608","55,892","58,144","59,312","61,080","62,140","61,720","61,736","60,740","60,448","63,256","64,172","65,488","67,496","64,692","61,056","64,396","67,120","67,332","70,200","71,052","72,768","72,340","73,948","74,980","76,768","74,964","76,644","77,684","78,220","77,312","78,420","77,292","77,844","79,028","81,216","82,996","83,780","79,624","79,644","79,296","81,348","79,944","79,952","81,296","83,160","82,940","86,236","87,944","89,552","90,872","92,180","92,072","92,768","93,764","95,884","98,088","98,148","98,864","102,832","103,436","104,804","106,052","108,508","109,808","110,196","113,796","113,924","116,536","118,916","120,784","122,260","122,824","125,332","133,212","135,396","137,752","139,740","147,868","153,352","156,560","153,824","143,124","124,392","127,896","132,560","142,652","146,120","154,328","164,764","167,040","180,776","189,428","195,856","208,880","215,708","221,844","229,100","228,804","230,380","230,812","236,828","235,856","234,764","239,088"
"Less: imports of goods and services","7,296","7,316","7,568","8,132","8,236","8,192","8,156","7,884","7,996","8,244","8,696","8,948","9,416","9,724","9,540","9,800","10,340","10,616","11,032","11,848","12,100","12,408","12,876","13,412","13,480","13,740","13,720","13,576","15,016","14,644","15,216","16,932","17,652","17,860","17,836","18,616","18,344","18,548","18,244","17,288","17,852","19,396","20,764","21,212","21,512","22,756","23,576","24,864","26,568","27,424","28,588","31,272","33,908","36,440","39,748","41,588","41,820","41,816","42,468","43,480","45,116","46,384","46,076","47,032","49,736","52,224","52,884","53,408","54,768","59,268","61,588","67,740","70,608","70,440","75,608","79,432","81,460","81,660","80,604","87,960","91,972","98,952","95,820","92,192","86,492","83,548","83,944","78,660","83,128","86,692","94,436","102,860","109,204","112,448","118,108","113,728","118,840","125,620","129,680","131,788","136,580","133,976","139,468","139,304","136,120","138,248","142,864","153,956","157,320","156,108","159,624","161,688","166,248","168,876","165,896","171,104","174,796","173,640","171,656","173,188","169,464","170,380","178,248","180,036","183,220","188,264","193,568","197,608","205,812","213,840","220,608","229,536","231,028","249,260","252,952","268,128","276,584","275,232","271,356","273,360","279,508","277,788","290,360","292,884","311,508","323,148","334,872","343,788","348,652","352,692","356,144","374,088","374,012","374,648","387,708","405,900","413,472","424,808","429,760","437,780","425,212","424,220","410,688","401,940","407,840","423,284","434,388","436,608","432,304","409,116","402,944","410,596","416,056","443,984","451,500","444,384","457,924","465,988","469,036","477,980","475,892","487,940","493,888","496,788","510,516","506,496","506,172","499,620","514,020","544,048","556,240","548,368","481,660","454,340","467,904","479,092","497,576","511,464","529,224","530,348","544,496","558,292","568,840","586,424","587,656","592,928","589,516","586,448","596,984","603,272","612,204","614,744","630,872","652,604","653,896","667,332","674,904","677,300","690,492","689,380","689,740","673,580","692,180","687,972","711,044","733,904","705,324","730,744","748,240","773,780","775,912","767,128","790,816","789,700","781,004","768,156","775,408","592,372","712,904","733,444","754,688","759,496","788,672","848,832","879,456","968,252","982,476","977,072","968,792","987,096","986,032","999,768","989,140","1,017,824","1,020,096","1,033,004","1,066,960","1,042,120","1,025,308"
"Imports of goods","5,844","5,848","6,004","6,476","6,696","6,568","6,616","6,360","6,488","6,680","7,076","7,308","7,664","8,008","7,772","7,928","8,516","8,700","9,076","9,852","10,064","10,272","10,644","11,156","11,164","11,372","11,372","11,120","12,540","12,164","12,580","14,152","14,656","14,504","14,604","15,404","14,856","14,956","14,676","13,808","14,580","15,780","16,840","17,176","17,812","18,884","19,524","20,564","22,084","22,940","23,832","26,132","28,360","30,864","33,980","35,524","35,048","35,000","35,368","36,032","37,332","38,256","37,976","38,580","41,028","43,340","43,532","43,988","45,208","49,004","51,080","56,796","59,904","59,696","64,516","67,712","69,180","69,276","67,564","74,628","77,128","84,024","81,336","77,924","71,160","69,188","69,620","64,100","68,772","71,116","78,064","86,040","91,712","94,852","100,696","96,584","99,780","106,456","110,204","111,928","115,596","112,592","117,716","117,104","114,296","115,480","119,700","130,252","133,164","131,212","134,084","135,356","138,792","141,032","137,792","141,604","143,860","142,168","139,392","140,720","137,760","137,344","144,656","144,316","147,628","151,720","157,964","161,656","167,672","174,400","178,964","187,856","188,112","205,080","212,680","226,660","233,880","231,644","226,844","227,996","233,852","231,372","242,328","244,040","262,284","273,536","283,856","292,324","295,400","298,196","301,828","318,632","317,716","317,436","328,948","344,364","351,452","360,928","365,564","371,712","358,712","358,444","345,816","336,748","342,588","354,400","364,044","365,504","361,928","341,292","331,432","336,156","341,180","367,568","375,992","368,352","379,380","386,504","388,692","396,784","393,836","405,340","408,884","411,456","423,652","417,556","417,044","406,308","419,388","447,940","458,388","450,044","383,156","358,736","373,368","382,020","396,208","409,004","426,124","424,680","439,676","449,160","459,644","477,100","475,624","479,424","474,488","471,152","479,880","484,976","491,844","494,336","507,708","526,576","527,708","538,212","543,640","543,072","555,340","554,200","552,472","536,276","553,280","547,368","567,520","589,136","560,692","582,752","594,044","615,648","615,308","606,880","623,840","622,784","613,828","597,136","598,484","467,304","585,356","601,348","612,292","613,744","631,452","681,816","708,848","779,660","785,348","777,476","765,456","775,604","768,932","772,796","761,796","790,808","786,332","800,208","833,972","804,580","788,380"
"Imports of services","1,452","1,468","1,564","1,656","1,540","1,624","1,540","1,524","1,508","1,564","1,620","1,640","1,752","1,716","1,768","1,872","1,824","1,916","1,956","1,996","2,036","2,136","2,232","2,256","2,316","2,368","2,348","2,456","2,476","2,480","2,636","2,780","2,996","3,356","3,232","3,212","3,488","3,592","3,568","3,480","3,272","3,616","3,924","4,036","3,700","3,872","4,052","4,300","4,484","4,484","4,756","5,140","5,548","5,576","5,768","6,064","6,772","6,816","7,100","7,448","7,784","8,128","8,100","8,452","8,708","8,884","9,352","9,420","9,560","10,264","10,508","10,944","10,704","10,744","11,092","11,720","12,280","12,384","13,040","13,332","14,844","14,928","14,484","14,268","15,332","14,360","14,324","14,560","14,356","15,576","16,372","16,820","17,492","17,596","17,412","17,144","19,060","19,164","19,476","19,860","20,984","21,384","21,752","22,200","21,824","22,768","23,164","23,704","24,156","24,896","25,540","26,332","27,456","27,844","28,104","29,500","30,936","31,472","32,264","32,468","31,704","33,036","33,592","35,720","35,592","36,544","35,604","35,952","38,140","39,440","41,644","41,680","42,916","44,180","40,272","41,468","42,704","43,588","44,512","45,364","45,656","46,416","48,032","48,844","49,224","49,612","51,016","51,464","53,252","54,496","54,316","55,456","56,296","57,212","58,760","61,536","62,020","63,880","64,196","66,068","66,500","65,776","64,872","65,192","65,252","68,884","70,344","71,104","70,376","67,824","71,512","74,440","74,876","76,416","75,508","76,032","78,544","79,484","80,344","81,196","82,056","82,600","85,004","85,332","86,864","88,940","89,128","93,312","94,632","96,108","97,852","98,324","98,504","95,604","94,536","97,072","101,368","102,460","103,100","105,668","104,820","109,132","109,196","109,324","112,032","113,504","115,028","115,296","117,104","118,296","120,360","120,408","123,164","126,028","126,188","129,120","131,264","134,228","135,152","135,180","137,268","137,304","138,900","140,604","143,524","144,768","144,632","147,992","154,196","158,132","160,604","160,248","166,976","166,916","167,176","171,020","176,924","125,068","127,548","132,096","142,396","145,752","157,220","167,016","170,608","188,592","197,128","199,596","203,336","211,492","217,100","226,972","227,344","227,016","233,764","232,796","232,988","237,540","236,928"
"Statistical discrepancy","-400","-204","152","92","195","292","36","-15","-69","124","96","25","-228","137","28","39","-163","-37","11","113","63","-337","-452","170","136","-76","-59","-69","44","11","-245","214","460","571","276","-123","48","-204","-700","-752","-586","-384","-607","-499","31","-211","127","513","557","638","380","193","707","758","1,025","1,014","716","382","504","346","1,390","831","-38","473","-277","-465","-1,200","-1,178","-961","-36","-557","758","-993","-1,057","959","447","791","-6","-1,203","-1,014","-1,376","-876","428","336","-960","-176","-1,072","-2,044","-2,024","-1,328","-552","-316","-448","-132","-1,092","-768","776","492","-1,056","584","-948","-1,316","248","-1,320","-192","1,252","1,664","1,440","1,192","1,008","740","1,176","2,824","588","-700","968","464","860","408","544","-272","-476","-1,308","-1,364","-1,900","-920","-1,076","-1,412","480","324","-1,448","-720","1,232","-696","224","748","-748","520","-144","380","264","112","-976","-1,096","548","1,236","748","2,048","908","1,156","-1,024","1,164","1,636","964","940","2,136","1,564","1,676","1,308","-472","600","-528","-956","432","1,452","536","980","-72","2,008","1,292","44","172","856","-28","-64","236","-308","988","1,444","-252","-820","768","-776","-36","-976","-696","-1,204","-1,048","-72","552","-1,160","-620","-208","-1,328","-1,484","-392","-848","-1,064","-2,136","-1,440","-1,152","-912","-1,240","-820","-1,504","-1,188","-404","-1,028","-1,408","528","1,612","-1,172","-1,556","-220","244","-704","-216","-816","-1,268","-1,160","1,168","1,528","1,272","1,312","-1,936","-168","-1,032","-100","464","-440","160","132","1,808","1,464","-1,300","-1,452","524","-840","356","840","824","1,208","140","-648","432","-356","-664","372","516","-316","-200","-772","-1,052","-344","64","-1,148","188","-324","920"
"Gross domestic product at market prices","40,600","41,496","42,604","43,404","44,624","45,132","46,068","47,132","47,584","48,556","49,352","51,360","52,576","53,420","54,580","55,324","57,268","58,656","60,064","62,216","64,320","66,488","67,364","68,648","69,484","71,744","72,380","73,640","75,316","77,652","79,448","81,480","83,796","85,476","87,140","89,308","91,376","92,224","94,096","94,916","96,288","100,312","103,624","106,436","108,148","112,264","114,384","119,288","124,756","130,040","134,524","142,544","149,300","155,960","162,244","165,200","167,444","173,624","182,216","188,428","196,248","206,252","208,448","212,996","219,912","224,808","229,724","235,960","241,320","248,684","255,204","263,092","271,400","284,172","292,920","301,940","309,784","317,228","324,764","339,352","355,992","367,992","372,820","376,628","383,004","386,516","389,560","393,644","403,236","415,804","428,960","437,264","447,840","459,552","465,180","475,372","486,096","495,352","503,872","514,788","518,612","523,844","530,220","533,844","552,484","567,420","581,680","595,760","610,948","621,168","631,392","644,068","656,160","669,792","679,132","681,232","691,928","695,624","697,684","696,768","694,008","701,572","704,796","706,716","710,008","714,744","721,660","727,332","733,952","745,360","750,068","758,768","772,656","783,660","800,784","810,788","823,972","828,856","832,976","840,680","844,208","852,904","864,544","877,680","891,748","899,412","912,564","923,980","934,612","935,212","938,872","953,496","975,240","994,172","1,021,308","1,040,988","1,070,188","1,099,448","1,121,768","1,132,880","1,149,924","1,152,860","1,138,804","1,136,584","1,158,640","1,185,892","1,204,144","1,226,100","1,250,088","1,237,720","1,258,296","1,272,884","1,296,216","1,328,148","1,351,480","1,367,080","1,380,324","1,399,608","1,436,992","1,469,436","1,476,000","1,490,716","1,504,936","1,514,764","1,547,276","1,576,612","1,582,248","1,604,508","1,637,296","1,677,448","1,694,512","1,618,908","1,557,232","1,548,488","1,567,924","1,611,692","1,644,032","1,653,240","1,665,372","1,701,548","1,737,952","1,759,852","1,785,748","1,812,700","1,815,120","1,818,984","1,830,636","1,844,064","1,876,844","1,886,592","1,912,428","1,933,124","1,963,452","1,988,404","2,013,792","2,013,944","1,984,300","1,984,920","2,000,864","1,991,680","1,998,420","2,002,152","2,035,420","2,066,148","2,107,948","2,130,020","2,141,752","2,182,844","2,207,068","2,240,068","2,258,952","2,236,612","2,268,912","2,312,680","2,322,476","2,350,184","2,288,016","2,015,932","2,246,484","2,331,676","2,431,388","2,488,016","2,563,304","2,660,564","2,777,840","2,898,284","2,888,752","2,891,760","2,912,428","2,935,200","2,997,664","3,015,512","3,036,308","3,088,908","3,132,052","3,176,936","3,220,856","3,208,880","3,255,456"
"Final domestic demand","41,080","41,740","43,012","43,264","44,204","44,880","45,240","46,108","46,580","47,664","48,560","49,944","51,488","51,984","53,112","54,912","55,744","57,440","59,304","61,352","63,352","65,092","66,500","67,796","68,976","71,032","71,524","72,820","74,520","75,684","77,772","80,112","82,276","83,736","85,652","87,628","89,040","90,292","91,968","93,856","94,170","99,416","102,542","105,884","106,956","110,536","113,516","116,896","121,932","126,136","130,824","137,996","145,568","151,012","157,556","161,700","168,024","175,736","185,152","191,116","195,330","204,970","205,270","213,754","218,915","224,335","230,747","235,291","240,620","247,640","253,832","261,012","269,617","277,197","286,489","293,793","303,219","309,303","324,301","336,653","351,040","362,588","370,452","376,944","379,356","381,272","385,188","393,696","397,196","408,196","418,740","425,932","433,568","439,236","445,388","454,632","466,984","479,288","490,560","500,896","508,292","514,056","524,248","530,528","543,264","560,200","571,628","584,588","596,708","609,160","623,004","634,032","648,096","663,876","670,168","682,372","696,088","692,952","697,792","699,748","699,848","713,580","716,572","720,912","724,892","724,228","733,156","735,504","736,140","745,060","751,984","760,728","768,420","778,984","784,984","793,016","792,332","796,268","798,940","800,308","811,760","818,296","826,160","845,256","861,476","873,596","887,520","897,248","905,320","913,552","921,164","927,120","942,104","957,192","973,624","987,764","1,004,720","1,026,704","1,042,100","1,051,664","1,067,692","1,084,248","1,089,776","1,096,312","1,114,752","1,134,556","1,153,032","1,170,208","1,181,140","1,187,376","1,210,000","1,218,824","1,243,312","1,261,980","1,277,388","1,293,628","1,319,028","1,343,524","1,365,396","1,386,504","1,413,496","1,437,360","1,456,092","1,473,000","1,502,452","1,528,140","1,543,992","1,566,784","1,597,024","1,620,800","1,636,424","1,618,136","1,575,624","1,582,484","1,604,592","1,638,568","1,665,188","1,686,140","1,707,380","1,734,432","1,752,940","1,774,796","1,793,384","1,814,808","1,837,532","1,848,672","1,861,460","1,876,076","1,893,000","1,905,860","1,928,472","1,946,524","1,966,988","1,992,948","2,016,420","2,039,316","2,030,996","2,029,696","2,047,424","2,055,672","2,056,300","2,063,128","2,079,376","2,090,060","2,130,908","2,159,144","2,173,932","2,216,392","2,237,768","2,262,224","2,274,020","2,279,964","2,303,644","2,321,164","2,347,688","2,374,116","2,348,312","2,080,132","2,324,344","2,369,944","2,431,652","2,469,460","2,555,072","2,622,772","2,721,432","2,788,620","2,815,576","2,852,424","2,880,332","2,933,840","2,968,084","2,995,584","3,027,284","3,084,764","3,132,404","3,182,928","3,206,700","3,243,904","3,264,932"




"How to cite: Statistics Canada. Table 36-10-0104-01  Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610010401